S.No.,Name of Indian Agent,Name of Manufacturer,%$$%Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Biliary Stent (covered)-
Silicone, PTFE / Niti-S
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871","Biliary Stent (covered)-
Silicone / Niti-S
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Biliary Stent PTFE / Com
Vi
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Esophageal Stent
(Uncovered) / Niti-S
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Esophageal Stent
(covered)-Silicone, PTFE /
Niti-S
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Esophageal Stent
(covered) - Silicone / Niti-S
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Esophageal Stent - PTFE /
ComVi
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871"," Enteral Colonic Stent (
Uncovered) / Niti-S
",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
18,"M/s. Innvative Therapeutics
(P) Ltd., no. 79, 5th Street,
A1 Block, Anna Nagar,
Chennai-600040","M/s. Taewoong Medical Co.
Ltd., 1-5, Gomak-ri, Wolgot-
myeon, Gimpo-Si, Gyeonggi-
do, Korea 415871",". Enteral Colonic Stent
(covered)-Silicone,PTFE /
Niti-S",31-1324-MD/2013-DC,,MD-1324,18.05.2015,30.04.2018,,
,,,%$$%,,,,,,,
,,,". Enteral Colonic Stent
(covered)-Silicone / Niti-S
",,,,,,,
,,,". Enteral Colonic Stent
(covered)-PTFE / ComVi
",,,,,,,
,,,". Plyoric / Duodenal Stent
(Uncovered) / Niti-S
",,,,,,,
,,,". Plyoric / Duodenal Stent
(covered) - Silicone PTFE /
Niti-S
",,,,,,,
,,,". Plyoric / Duodenal Stent
(covered) - Silicone / Niti-S
",,,,,,,
,,,". Plyoric / Duodenal Stent
PTFE / ComVi
",,,,,,,
,,,". Tracheal Stent
(Uncovered) / Niti-S
",,,,,,,
,,,". Tracheal Stent (covered) /
Niti-S
",,,,,,,
,,,". Bronchial Stent
(Uncovered) / Niti-S
",,,,,,,
,,,". Bronchial Stent (covered)
/ Niti-S
",,,,,,,
,,,". Ureteral Stent /
UVENTA™",,,,,,,
18,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Ethicon LLC., 475 C
Street, Los Frailes Industrial
Park, Guaynabo, PR, USA
00969 having manufacturing
premises at
M/s. Ethicon Inc., 3348
Pulliam ST, San Angelo TX,
USA 76905","%$$%Stratafix Symmertic PDS
Plus/ Knotless Tissue Control
Device",31-1613-MD/2014-DC,,MD-1613,18.05.2015,30.04.2018,,
19,"M/s. Bostotn Scientific
India Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
having manufacturing
premises at
M/s. Availmed S.A. de C.V.,
Ave. Paseo Reforma",%$$%,31-1602-MD/2014-DC,,MD-1602,18.05.2015,30.04.2018,,
19,"M/s. Bostotn Scientific
India Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
having manufacturing
premises at
M/s. Availmed S.A. de C.V.,
Ave. Paseo Reforma"," Impulse Angiographic
Catheter / Angiographic
Catheter
",31-1602-MD/2014-DC,,MD-1602,18.05.2015,30.04.2018,,
19,"M/s. Bostotn Scientific
India Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
having manufacturing
premises at
M/s. Availmed S.A. de C.V.,
Ave. Paseo Reforma", Mach,31-1602-MD/2014-DC,,MD-1602,18.05.2015,30.04.2018,,
19,"M/s. Bostotn Scientific
India Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
having manufacturing
premises at
M/s. Availmed S.A. de C.V.,
Ave. Paseo Reforma","�� Guide Catheter /
Intravascular Giding Catheter
",31-1602-MD/2014-DC,,MD-1602,18.05.2015,30.04.2018,,
19,"M/s. Bostotn Scientific
India Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
having manufacturing
premises at
M/s. Availmed S.A. de C.V.,
Ave. Paseo Reforma", Mach,31-1602-MD/2014-DC,,MD-1602,18.05.2015,30.04.2018,,
19,"M/s. Bostotn Scientific
India Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
having manufacturing
premises at
M/s. Availmed S.A. de C.V.,
Ave. Paseo Reforma","�� Peripheral Guide
Catheter / Intravascular
Giding Catheter",31-1602-MD/2014-DC,,MD-1602,18.05.2015,30.04.2018,,
,,"No.8950, Interior G1 (Local B,
H) La Mesa, C.P. 22116
Tijuana, Baja California,
Mexico USA",%$$%,,,,,,,
,,"No.8950, Interior G1 (Local B,
H) La Mesa, C.P. 22116
Tijuana, Baja California,
Mexico USA", ,,,,,,,
,,"No.8950, Interior G1 (Local B,
H) La Mesa, C.P. 22116
Tijuana, Baja California,
Mexico USA"," RunWay Guide
Catheters / Guide Catheters
",,,,,,,
,,"No.8950, Interior G1 (Local B,
H) La Mesa, C.P. 22116
Tijuana, Baja California,
Mexico USA"," Expo Angiographic
Catheters / Angiographic
Catheters",,,,,,,
19,"M/s. Stryker India Private
Ltd., Khewat no. 122,
Khata no. 157, Mustkil no.
98 killa no 6,7,8/1, 13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. Stryker Neurovascular,
47900 Bayside Parkway,
Fremont CA 94538 USA
having manufacturing
premises at
M/s. Stryker Neurovascular,
Business and Technology
Park, Model Farm Road,
Cork, Ireland",%$$%,"31-1382-MD/2013-DC
(End. 01)",,MD-1382,19.05.2015,30.04.2017,,
19,"M/s. Stryker India Private
Ltd., Khewat no. 122,
Khata no. 157, Mustkil no.
98 killa no 6,7,8/1, 13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. Stryker Neurovascular,
47900 Bayside Parkway,
Fremont CA 94538 USA
having manufacturing
premises at
M/s. Stryker Neurovascular,
Business and Technology
Park, Model Farm Road,
Cork, Ireland", Excelsior XT-,"31-1382-MD/2013-DC
(End. 01)",,MD-1382,19.05.2015,30.04.2017,,
19,"M/s. Stryker India Private
Ltd., Khewat no. 122,
Khata no. 157, Mustkil no.
98 killa no 6,7,8/1, 13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. Stryker Neurovascular,
47900 Bayside Parkway,
Fremont CA 94538 USA
having manufacturing
premises at
M/s. Stryker Neurovascular,
Business and Technology
Park, Model Farm Road,
Cork, Ireland"," /
Microcatheter
","31-1382-MD/2013-DC
(End. 01)",,MD-1382,19.05.2015,30.04.2017,,
19,"M/s. Stryker India Private
Ltd., Khewat no. 122,
Khata no. 157, Mustkil no.
98 killa no 6,7,8/1, 13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. Stryker Neurovascular,
47900 Bayside Parkway,
Fremont CA 94538 USA
having manufacturing
premises at
M/s. Stryker Neurovascular,
Business and Technology
Park, Model Farm Road,
Cork, Ireland"," TransForm / Occlusion
Balloon catheter","31-1382-MD/2013-DC
(End. 01)",,MD-1382,19.05.2015,30.04.2017,,
19,"M/s. Plexus Medica, D. No.
6-1-300 4th Floor, CIB
Quarters, Gandhi Nagar,
Khairatabad, MCH Circle-
10 Mandal Hyderabad","M/s. Umbra Medical Products
Inc., 8930, Roan Lane East,
Inverness, Florida 34450,
USA","%$$%Eagle PTCA Guidewire/
Guidewire","31-1364-MD/2014-DC
(End.01)",,MD-1364,19.05.2015,15.10.2017,,
19,"M/s. Stryker India Private
Ltd., Khewat no. 122,
Khata no. 157, Mustkil no.
98 killa no 6,7,8/1, 13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. Boston Scientific
Corporation One Boston
Scientific Place, Natick, MA
01760-1537 USA
having manufacturing
premises at
M/s. Boston Scientific
Corporation Two Scimed
Place Maple Grove, MN
55311 - 1566 USA","%$$%PTA Balloon Catheter /
Gateway",31-1568-MD/2014-DC,,MD-1568,19.05.2015,30.04.2018,,
19,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. BM KOREA Co. Ltd.,
325-26, Dangjeon-dong,
Gunp-si, Gyeonggi-do, Korea",%$$%,31-1471-MD/2014-DC,,MD-1471,19.05.2015,30.04.2018,,
19,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. BM KOREA Co. Ltd.,
325-26, Dangjeon-dong,
Gunp-si, Gyeonggi-do, Korea"," Cervical Cage /
Intervertebral Body Fusion
Device (Non-Sterile)
",31-1471-MD/2014-DC,,MD-1471,19.05.2015,30.04.2018,,
19,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. BM KOREA Co. Ltd.,
325-26, Dangjeon-dong,
Gunp-si, Gyeonggi-do, Korea"," Lumbar Cage /
Intervertebral Body Fusion
Device (Non-Sterile)
",31-1471-MD/2014-DC,,MD-1471,19.05.2015,30.04.2018,,
19,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. BM KOREA Co. Ltd.,
325-26, Dangjeon-dong,
Gunp-si, Gyeonggi-do, Korea"," Guardian / Inflatable Bone
Expander System",31-1471-MD/2014-DC,,MD-1471,19.05.2015,30.04.2018,,
,,,%$$%,,,,,,,
,,," Synster® Pedicide Screw
System/ Spinal Fixation
System(Non-Sterile)",,,,,,,
19,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri
(E),Mumbai, Tal : Andheri
East ( Mumbai - Zone5)
400069","M/s. Bard Access Systems.,
Inc., 605 North 5600 West
Salt Lake City, UT USA
84116 having manufacturing
premises at
M/s. Bard Shannon Limited
San Geronimo Industrial Park
Lot 1, Road No.3, KM 79.7
Humacao, PR USA 00791",%$$%Hickman / CV Catheter,31-1562-MD/2014-DC,,MD-1562,19.05.2015,30.04.2018,,
19,"M/s. St. Jude Medical India
Pvt. Ltd., D.O. 8-3-168/B/1,
Plot no 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circles-5
Mandal, Hyderabad","M/s. St. Jude Medical, 5050
Nathan Lane North,
Plymouth, MN 55442 USA",%$$%,31-1468-MD/2014-DC,,MD-1468,20.05.2015,30.04.2018,,
19,"M/s. St. Jude Medical India
Pvt. Ltd., D.O. 8-3-168/B/1,
Plot no 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circles-5
Mandal, Hyderabad","M/s. St. Jude Medical, 5050
Nathan Lane North,
Plymouth, MN 55442 USA"," Ultimum™/ Hemostasis
Introducer
",31-1468-MD/2014-DC,,MD-1468,20.05.2015,30.04.2018,,
19,"M/s. St. Jude Medical India
Pvt. Ltd., D.O. 8-3-168/B/1,
Plot no 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circles-5
Mandal, Hyderabad","M/s. St. Jude Medical, 5050
Nathan Lane North,
Plymouth, MN 55442 USA"," Fast-Cath™/Hemostasis
Introducer
",31-1468-MD/2014-DC,,MD-1468,20.05.2015,30.04.2018,,
19,"M/s. St. Jude Medical India
Pvt. Ltd., D.O. 8-3-168/B/1,
Plot no 18 & 19, Laxmi
Nagar, Behind T.B.
Hospital, MCH Circles-5
Mandal, Hyderabad","M/s. St. Jude Medical, 5050
Nathan Lane North,
Plymouth, MN 55442 USA"," Hemostasis Valve Agaptor:
Vessel Dilator; Repositioning
Sleeve; Sheath Obturator
(Introducer Accessories)",31-1468-MD/2014-DC,,MD-1468,20.05.2015,30.04.2018,,
19,"M/s. Biomet Orthopaedic
India Pvt. Ltd., 2301,
Shanti Estate, Ghansham
Estate, National Highway
No. 8. Aslali, Tal: Daskroi
(N.A.), Ahmedabad-
(Gujarat).","M/s. Biomet Sports Medicine
LLC, 56 East Bell Drive, PO
Box 587, Warsaw, Indiana
46581-0587, USA","%$$%WasherLoc Tibial Fixation
Device / Spiked Washer,
Screws","31-1152-MD/2012-DC
End. 03",,MD-1152,22.05.2015,15.09.2016,,
19,"M/s India medtronic Pvt.
Ltd., Plot no. 609,
Survey/shed-188(Part),
Chamunda Compound,
kasheli village, distt, thane,
bhiwandi 421301,
maharashtra","M/s Medtronic Inc., Medtronic
Park Way, NE Minneapolis,
MN 55432, USA
having manufacturing
premises at
M/s. Medtronic Ireland,
Parkmore Business Park
west, Galway, Ireland",%$$%,"31-64-MD/2006-DC Re
Reg.02(Part-I)",,MD-64,22.05.2015,31.03.2018,,
19,"M/s India medtronic Pvt.
Ltd., Plot no. 609,
Survey/shed-188(Part),
Chamunda Compound,
kasheli village, distt, thane,
bhiwandi 421301,
maharashtra","M/s Medtronic Inc., Medtronic
Park Way, NE Minneapolis,
MN 55432, USA
having manufacturing
premises at
M/s. Medtronic Ireland,
Parkmore Business Park
west, Galway, Ireland"," Endeavor Sprint RX
Zotarolimus Eluting Corony
Stent System / Drug Eluting
Stent
","31-64-MD/2006-DC Re
Reg.02(Part-I)",,MD-64,22.05.2015,31.03.2018,,
19,"M/s India medtronic Pvt.
Ltd., Plot no. 609,
Survey/shed-188(Part),
Chamunda Compound,
kasheli village, distt, thane,
bhiwandi 421301,
maharashtra","M/s Medtronic Inc., Medtronic
Park Way, NE Minneapolis,
MN 55432, USA
having manufacturing
premises at
M/s. Medtronic Ireland,
Parkmore Business Park
west, Galway, Ireland"," Endeavor Resolute
Zotarolimus Eluting Corony
Stent System / Drug Eluting
Stent
","31-64-MD/2006-DC Re
Reg.02(Part-I)",,MD-64,22.05.2015,31.03.2018,,
19,"M/s India medtronic Pvt.
Ltd., Plot no. 609,
Survey/shed-188(Part),
Chamunda Compound,
kasheli village, distt, thane,
bhiwandi 421301,
maharashtra","M/s Medtronic Inc., Medtronic
Park Way, NE Minneapolis,
MN 55432, USA
having manufacturing
premises at
M/s. Medtronic Ireland,
Parkmore Business Park
west, Galway, Ireland"," Assurant Cobalt Over-the-
Wire Iliac Stent System/ Iliac
artery stent and delivery","31-64-MD/2006-DC Re
Reg.02(Part-I)",,MD-64,22.05.2015,31.03.2018,,
,,,"%$$%system
",,,,,,,
,,, attain ,,,,,,,
,,,,,,,,,,
,,,"DEF /
Deflectable Catheter Delivery
System
",,,,,,,
,,, SelectSite C,,,,,,,
,,,,,,,,,,
,,,"/
Deflectable Catheter System
/ C",,,,,,,
,,,,,,,,,,
,,,S-,,,,,,,
,,, & C,,,,,,,
,,,,,,,,,,
,,,L,,,,,,,
,,,"
",,,,,,,
,,, SelectSite C,,,,,,,
,,,,,,,,,,
,,,"/
Deflectable Catheter System
/ C",,,,,,,
,,,,,,,,,,
,,,XL,,,,,,,
,,,"
",,,,,,,
,,,Attain Select II ,,,,,,,
,,,,,,,,,,
,,,"DEL /
Delivery catheter System
",,,,,,,
,,, Attain LDS ,,,,,,,
,,,,,,,,,,
,,,"A / Attain
Access ",,,,,,,
,,,,,,,,,,
,,,"A / Left Heart
Delivery System
",,,,,,,
,,, Attain ,,,,,,,
,,,,,,,,,,
,,,A/ Attain ,,,,,,,
,,,,,,,,,,
,,,"A
/ Guide Catheter for Left
Heart Delivery
",,,,,,,
,,,". Sprinter Over-the-Wire
Balloon Dilatation Catheter/
Balloon Dilatation Catheter
",,,,,,,
,,,.Attain Command ,,,,,,,
,,,,,,,,,,
,,,"/
Guide Catheter for Left-Heart
Delivery
",,,,,,,
,,,.Attain Command ,,,,,,,
,,,,,,,,,,
,,," /
Left-Heart Delivery System
",,,,,,,
,,,". Valiant Thoracic Stent
Graft with the Captivia
Delivery System /
Endovascular Graft
",,,,,,,
,,,". Sprinter Legend Over-
theWire Balloon Dilatation
Catheter/ Balloon Dilatation
Catheter
",,,,,,,
,,,". Complete Se Vascular
Self-Expanding Stent System
",,,,,,,
,,,". Integrity Rapid Exchange
Coronary Stent System/ Bare
Metal Stent",,,,,,,
,,,%$$%,,,,,,,
,,,". Reliant Stent Graft
Balloon Catheter / Balloon
Catheter
",,,,,,,
,,,". Resolute Integrity
Zotarolimus Eluting Coronary
Stent System/ Drug Eluting
Stent
",,,,,,,
,,,". Driver Sprint Rapid
Exchange Coronary Stent
System/ Barc Metal Stent
",,,,,,,
,,,".Endurant II Stent Graft
System / Endovascular Graft
",,,,,,,
,,,. C,,,,,,,
,,,,,,,,,,
,,,"Delivery Catheter/
Delivery Catheter
",,,,,,,
,,,". Attain Command + Sure
Valve™ / Heart Therapy
Delivery System
",,,,,,,
,,,".Attain Select II + Sure
Valve™ /Heart Therapy
Delivery System
",,,,,,,
,,,". ARES™ Antibiotic-
Impregnated
catheters/Antibiotic
Impregnated Hydcrophalous
Catheter
",,,,,,,
,,,. Attain Clarity ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,"
Venogram Balloon Catheter
",,,,,,,
,,,". IN.PACT Admiral /
Paclitaxel Eluting PTA
Balloon Catheter
",,,,,,,
,,,". IN PACT Falcon
Paclitaxel Eluting PTCA
Balloon Catheter",,,,,,,
19,"M/s. Spinemed System
Pvt. Ltd,
501, Fifth Floor, 90
Mansarover Building,
Nehru Place, New Delhi-
ll0019.","M/s. Extremity Medical LLC.,
300, Interpace Parkway,
Suite 410, Parsipanny, New
Jersy - 07054, USA",%$$%,"31-803(A)-MD /2009-DC
(Re Reg.01)",,MD-803(A),22.05.2015,30.04.2018,,
19,"M/s. Spinemed System
Pvt. Ltd,
501, Fifth Floor, 90
Mansarover Building,
Nehru Place, New Delhi-
ll0019.","M/s. Extremity Medical LLC.,
300, Interpace Parkway,
Suite 410, Parsipanny, New
Jersy - 07054, USA"," CompressX / Compression
Screw
","31-803(A)-MD /2009-DC
(Re Reg.01)",,MD-803(A),22.05.2015,30.04.2018,,
19,"M/s. Spinemed System
Pvt. Ltd,
501, Fifth Floor, 90
Mansarover Building,
Nehru Place, New Delhi-
ll0019.","M/s. Extremity Medical LLC.,
300, Interpace Parkway,
Suite 410, Parsipanny, New
Jersy - 07054, USA"," IO FIX / Lag Screw
(Cannulated Tapered)
","31-803(A)-MD /2009-DC
(Re Reg.01)",,MD-803(A),22.05.2015,30.04.2018,,
19,"M/s. Spinemed System
Pvt. Ltd,
501, Fifth Floor, 90
Mansarover Building,
Nehru Place, New Delhi-
ll0019.","M/s. Extremity Medical LLC.,
300, Interpace Parkway,
Suite 410, Parsipanny, New
Jersy - 07054, USA", HalluX / Lag Screw,"31-803(A)-MD /2009-DC
(Re Reg.01)",,MD-803(A),22.05.2015,30.04.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002",%$$%,31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance Femoral Implant
(CoCr) / Primary Porous,
Non-Porous, Post Stab,
Revision & Stemmed
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance HA coated
Femoral Implant
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance Femoral /Tibial/
Revision Augment-UHMWPE
/ Posterior and distal in
femoal augment
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance Tibial Insert -
UHMWPE / Double High II
post Stab and II Medial Pivot
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance Tibia Bas -
Titanium / Biofoam and Offset
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance II Tibia Base -
Cobalt Chromium
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance Coated Tibia
Hydroxy Apetiie (HA)
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Advance Onlay All-Poly-
Patella - UHMWPE / Single
PEG & TRI PEG
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002"," Cancellous Bone Screw -
Ti",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002",I,31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002","
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002",". Advanced Canal Filling
Stem Extension - Ti",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002",I,31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002","
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002",". PROFEMUR® Z Class
Femoral Stem -n Titanium
Alloy
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
20,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. Microport orthopedics
Inc., 5677 airline RD,
Arlington, TN USA 38002",". Ceramic / Biolox Delta
Ceramic / Conserve Total
Femoral Head - Alumina
Ceramic
",31-1539-MD/2014-DC,,MD-1539,22.05.2015,15.05.2018,,
