S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
23,"M/s. SpineMed Systems
Pvt. Ltd, 501 Fifth Floor, ,","M/s. Bioner, S.A., Espigolera,
9, 08960, Sant Just Desvern,","KELT Dental Implants /
Dental Implants",31-1583-MD/2014-DC,,MD-1583,16.06.2015,31.05.2018,,
,"90 Mansarovar Building,
Nehru Place, New Delhi-
110019","Bercelona, Spain",,,,,,,,
23,"M/s. Mn Solution, Shop No.
26 & 27, 2nd Floor, WZ-26,
Nangli Jalib, B-1 Janakpuri,
New delhi-110058","M/s. GS medical Co. Ltd.,
#90, Osongsaengmyeong, 4-
ro, Osong-eup, Cheongwon-
gun, Chungcheongbuk-do,
363-951, Korea","GSS Pedicle Screw System
(Non-Sterile) / Orthopaedic
Implants",31-1570-MD/2014-DC,,MD-1570,16.06.2015,31.05.2018,,
23,"M/s. Smith & Nephew
Healthcarea Pvt. Ltd., Bldg
2-3, & 15-17 Rajlaxmi
Complex, Opp. Hanuman
Bus Stop, Kalher, Thane –
Bhiwandi Road, Thane –
421302, India","M/s. Smith & Nephew Inc,
1450 Brooks Road, Memphis,
TN 38116, USA
Having manufacturing
premises at
M/s. Smith & Nephew
Orthopaedics GmbH,
Alemannenstrasse 14, 78532
Tuttlingen, Baden-
Wurttemberg, Germany","1. Stainless Steel Femoral
Head
2. Cobalt Chrome Femoral
Head
3. Biolox Delta Ceramic
Femoral Head","31-858-MD/2010-DC
(Re-Reg. 01) End. 02",,MD-858,19.06.2015,14.04.2017,,
23,"M/s. Johnson & Johnson
Ltd., A-1/50, room No. 2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad),
Gujarat","M/s. DePuy (Ireland)
Loughbeg, Ringaskiddy Co.
Cork, Ireland Having
manufacturing premises at
M/s. DePuy Orthopaedics,
325 Paramount Drive,
Raynham, Massachusetts
02767, USA","1. Sigma PS-150 Femoral
Components / Knee
Replacement System
2. Attune CR-PS Knee
System Femoral Components
/ Knee Replacement System
3. Attune CR-PS Knee
System Inserts / Knee
Replacement System
4. Gription-TF Screws / Knee
Replacement System","31-1065-MD/2011-DC
(Re. Reg.01)",,MD-1065,19.06.2015,15.07.2018,,
23,"M/s. Johnson & Johnson
Ltd., A-1/50, room No. 2,
100 Shed Area, G.I.D.C.,
Vapi, Tal: Pardi (Valsad),
Gujarat","M/s. DePuy Medical (Ireland),
Loughbeg, Ringaskiddy, Co.
Cork, Ireland
Having manufacturing
premises at
M/s. Johnson & Johsnon
Medical (Suzhou) Ltd., No.
299, Chang YANG Street,","1. Elite Plus Hip System -
Modular heads / total hip
prosthesis
2. Duraloc Hip System -
Sector Cups / Total Hip
Prosthesis
3. Duraloc Hip System -
Marathon Liners / Total Hip","31-999-MD/2011-DC
(Re. Reg. 01)",,MD-999,19.06.2015,31.05.2018,,
,,"Suzhu Industrial Park,
Suzhou 215126, China","Prosthesis
4. Harding Cement Restrictor/
Cement Restrictor
5. Marathon XLPE Cemented
Cups / Polythylene
Acetabulum Prosthesis
6. Charnley Hip system -
cups / Polyethylene
Acetabulum Prosthesis
7. elite Plus Hip System -
Cups / Cemente Acetabular
Components",,,,,,,
23,"M/s. Johnson & Johnson
Ltd., J-1, Shree Arihant
Complex, Reti Bunder
Road, Village-Kalher,
Thane- Bhiwandi Road,
Distt. Thane, Bhiwandi-15
(Thane Zone -5)","M/s. Cordis Corporation,
14201 NW 60th Ave, Miami
Lakes, FL 33014, USA
Having manufacturing
premises at
M/s. Cordis Corporation,
14201 N.W. 60th Ave, Miami
Lakes, FL 33014, USA","1. JINDO / Tapered
Peripheral Guidewire
2. SV 018 / Peripheral
Guidewires","31-1049-MD-2012-DC
(Re. Reg.01)",,MD-1049,19.06.2015,15.07.2018,,
23,"M/s. Johnson & Johnson
Ltd., A-1/50, Room No.2,
100 Shed Area GIDC,
Vapi, Taluka: Pardi,
District: Valsad, Gujrat","M/s Depuy Orthopaedics Inc.,
700 Orthopaedic Drive,
Warsaw, Indiana 46581-
0988, USA
Having manufacturing
premises at
M/s. CeramTec GmbH,
Medical Products Division,
CeramTec-Platz, 1-9, 73207
Plochingen, Germany","1.Biolox Delta Ceramic
Femoral Head / Hip
Replacement System
2. Biolox Delta Ceramax
Ceramic Insert / Hip
Replacement System","31-1085-MD-2012-DC
(Re. Reg. 01)",,MD-1085,19.06.2015,15.07.2018,,
23,"M/s. Covidien Healthcare
India Pvt. Ltd., ""Doshi
Towers"", 6th Floor, #156,
Poonamallee High Road,
Kilpauk, Chennai - 600010","M/s. Covidien ILC, 15
Hampshire Street, Mansfield,
MA 02048, USA
Having manufacturing
premises at
M/s. Covidien Medical
Products (Shanghai) L.L.C.,
Building #10, 789 Puxing
Road, Minhang District,","Premium Plus CEEA™
Autosuture™ / Single use
Circular Stapler","31-1201-MD/2012-DC
(Re Reg. 01)",,MD-1201,19.06.2015,31.05.2018,,
,,"Shanghai, China",,,,,,,,
23,"M/s. Alpha & Omega
Diagnostics (I) Ltd., 101-C,
Hari Nagar Ashram, Behind
NAFED Building, Mathura
Road, New Delhi - 110014","M/s. Labotech Labor-Technik-
Gottingen Gmbh, Kampweg
12, D-37124 Rosdorf,
Germany",Embryo Transfer Catheter,31-1495-MD/2014-DC,,MD-1495,23.06.2015,14.06.2018,,
23,"M/s. R.K.Distributors, Shop
No. 37, Palam Enclave,
Zirakpur, Distt. Mohali-
140603","M/s. Ceramisys Ltd., Alison
Business Centre, Alison
Crescent, Sheffield, S2 1AS,
England Having
manufacturing premises at
M/s. Ceramisys Ltd., 914
Herries Road, sheffield, S6
1QW, England, United
Kingdom","1. ReproBone™ / Synthetic
Resorbable Bone Graft
Substitute
2. ReproBone novo™ /
Synthetic Resorbable Bone
Graft Paste",31-1619-MD/2014-DC,,MD-1619,29.06.2015,15.06.2018,,
24,"M/s. Fresenius Kabi India
Pvt. Ltd., A-3, MIDC,
Warehouse-A, Gr. & First
FL Ranjangaon Ganpati
Tal-Shirpur, Dist- Pune Pin
412220","M/s. Fresenius Kabi AG
61346 Bad Homburg,
Germany Having
manufacturing premises at
M/s. Fresenius Hemocare
Netherlands B.V., Runde ZZ
41 7881 HM Emmer-
Compascuum Netherlands","1. Composelect® 5F T & B 63
ml CPD/100 SAG-M-RCC-
PDS-V / Blood Bags
2. Composelect® 4F 63 ml
CPD/100 SAG-M-RCC +
PDS-V / Blood Bags
3. CompoFlow® 4F T & B 63
ml CPD/100 SAG-M-RCC +
PDS-V / Blood Bags
4. CompoFlow® 5F T & B 63
ml CPD/100 SAG-M-RCC-
PDS-V / Blood Bags",31-1637-MD/2015-DC,,MD-1637,29.06.2015,14.06.2018,,
24,"M/s. Covidien Healthcare
India Pvt. Ltdd.,No. 156,
Doshi Towers,
Poonamallee High Road,
Kilpauk, Chennai - 600010","M/s. Covidien LLC, 15
Hampshire Street, Mansfield,
MA 02048, USA
Having manufacturing
premises at
M/s. Covidien Manufacturing
Solutions, S.A. Edificio B20
Calle# 2 Zona Franca Coyol
Alajuela, Costa Rica","1. Chronic Silicone Catheters
and kits / Mahurkar™
2. Chronic Silicone Oval
Catheters and kits /
Permcath™
3. Acute High Pressure Triple
Lumen Catheters and kits /
Mahurkar™
4. Acute Triple Lumen
Catheters and kits /
Mahurkar™","31-1228-MD/2012-DC
(Re.Reg 01)",,MD-1228,29.06.2015,31.05.2018,,
,,,"5. Acute Dual Lumen
Catheters and kits /
Mahurkar™
6. Acute Dual Lumen
Catheters High Flow /
Mahurkar™
7. Acute Single Lumen
Catheters / Argle™
8. Peritoneal Dialysis
Catheters and kits / Argle™",,,,,,,
24,"M/s. Covidien Healthacre
India Pvt. Ltd., No.156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-600010","M/s. Covidien IIc, 15
Hamsphire Street, Mansfield,
MA 02048 USA
Having manufacturing
premises at
M/s. Covidien, Zona France
de San Isidro, Carretera San
Isidro Km 17 Santo Domingo,
Dominican Republic","1. BIOSYN™ / Synthetic
Monofilament Absorbable
Suture
2. CAPROSYN™ /
Monofilament Absorbable
Suture
3. SURGIPRO™II /
Monofilament Polypropylene
Non-absorbable Suture
4. TICRON™ / Coated
braided Polyester Non-
absorbable Suture
5. MAXON™ / Monofilament
PolyGLUCONATE Sysnthetic
absorbable Suture
6. POLYSORB™ / Coated
braided Sysnthetic
absorbable Suture
7. STEEL MONOFILAMENT
STAINLESS STEEL 316L
nON- ABSOBABLE Suture /
Suture
8. FLEXON / FEP Polymer
Coated Mmltifilament
Stainless Steel Non -
absorble temporary Cardiac
Pacing Lead
9. MONOSOF™ /
Monofilament Nylon Non-","31-948-MD/2006-DC
(Re Reg.02)",,MD-948,29.06.2015,31.05.2018,,
,,,"absorbable Suture
10. SURGIPRO™ /
Monofilament Polypropylene
Non-absorbable Suture
11. SURGILON™ / COATED
BRAIDED Nylon Non-
absorbable Suture
12. Appose ULC™
/Autosuture single use slim
body skin stapler
13. SOFSILK™ / Single Stitch
Reload
14. Surgidac™ / Single Stitch
Reload
15. BRALON™ Reload /
Nylon Stitch Reload
16. Surgitie™ Autosuture™ /
Ligating loop with delivery
system",,,,,,,
24,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Sofradim Production 116
Avenue du Formans-01600,
Trevous, FRANCE","1.Parietene™ Lightweight
Mesh / MESH
2.. Parietex™ Hydrophilic
Anatomical Mesh, Parietex™
Hydrophilic Two Dimensional
Mesh Parietex™
HydrophilicThree
Dimensional Mesh / MESH
3. Parietene™ Composite
Mesh / MESH
4.Parietene™ Composite
Ventral Patch / MESH
5. Parietene™ Lightweight
Mesh / MESH
6. PARIETEX™ Plug and
Patch System / Hernia Mesh
Kit
7. PARIETEX™ Optimized
Composite Mesh / Mesh","31-933-MD/2011-DC
(Re-Reg. 02)",,MD-933,29.06.2015,31.05.2018,,
,,,"8. PROGRIP™ Laparoscopic
Self-Fixating Mesh
9. PROSUP™ Pelvic Floor
Repair Mesh
10. Parietene™ Composite
Mesh / Polypropylene Mesh
11. Progrip™ self-Gripping
Polypropylene Mesh /
Polypropylene Mesh
12. Progrip™ self-Gripping
Polyster Mesh / Polyster
Mesh
13. Symbotex™ Composite
Mesh / Polyster Mesh with
porcine clloagen and glycerol
hydrophilic film",,,,,,,
24,"M/s Covidien Healthcare
India Pvt. Ltd., Doshi tower,
6th Floor, # 156,
Poonamallee High Road
Kilpauk, Chennai-600 010","M/s. ev3 Inc., 4600 Nathan
Lane North, Plymouth, MN
55442, USA
Having manufacturing
premises at
M/s Micro Therapeutics Inc,
d/b/a ev3 Neurovascular Inc,
9775 Toledo Way, Irvine, CA
92618-USA","TurboHawk/ Peripheral
Plaque Excision System","31-624-MD/2006-DC
(Re Reg. 03)",,MD-624,29.06.2015,31.05.2018,,
24,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Covidien ILC, 15
Hampshire Street, Mansfield,
MA 02048, USA Having
manufacturing premises at
M/s. Mallinckrodt Medical,
Cornamaddy, Athlone, Co.
Westeath, Ireland","1. Tracheal Tube
2. Endobronchial Tubes
3.Tracheostomy Tubes","31-419-MD/2007-DC
(Re-Reg. 03)",,MD-419,29.06.2015,31.05.2018,,
24,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri
(E),Mumbai, Tal : Andheri
East ( Mumbai - Zone5)","M/s. Bard Access Systems
Inc., 605 North 5600 west,
Salt Lake City, Utah 84116,
USA
Having manufacturing
premises at","1. Navarre Universal
Drainage Catheter / Drainage
Catheter
2. Navarre Opti-Drain Multi-
Use Drainage Catheter /
Drainage Catheter",31-1624-MD/2014-DC,,MD-1624,29.06.2015,15.06.2018,,
,400069,"M/s. CR Bard, 289 Bay Road,
Queensbury, New York,
12804, USA","3. Navarre Percutaneous
Biliary Drainage Catheter /
Drainage Catheter",,,,,,,
24,"M/s. Bard India Halthcare
Pvt. Ltd., 501, 5th
Floor,Hubtown solaris, N.S.
Phadke Marg, Andheri €,
Mumbai - 400069","M/s. CR Bard Inc., 8195
Industrial Boulevard,
Covington, Georgia, 30014
USA
Having manufacturing
premises at
M/s. Bard Sdn. Bhd., Lot 57-
C, Kulim Industrial Estate-
09000, Kulim, Kedah,
Malaysia","1. Bard® Biocath®
Suprapubic Catheterisation
Set / Suprapubic Catheters /
Stainless Steel,
Polycarbonate, Polyethylene,
Hydrogel coated Latex
2. Bard® Biocath®
Suprapubic Catheterisation
Set / Suprapubic Catheters /
Stainless Steel,
Polycarbonate, Polyethylene,
Hydrogel coated all silicone
3. Bardia Foley Cathters,
Bardic Foley Catheters,
Bardx Foley Catheters / Foley
Catheters",31-1589-MD/2014-DC,,MD-1589,29.06.2015,14.06.2018,,
24,"M/s. Zimmer India Pvt. Ltd.
14th Floor, Tower 5B, DLF
Cyber Terraces, DLF
Cyber City, Gurgaon -122
002 Haryana, India","M/s. Aap Biomaterials GmbH,
Lagerstrasse 11-15, 64807
Dieburg, Germany","1. Hi-Fatigue Bone Cement /
Bone Cement
2. Hi-Fatigue G Bone Cement
/ Bone Cement","31-960-MD /2011-DC
(Re-Reg.01)",,MD-960,03.07.2015,15.06.2018,,
24,"M/s. Smith & Nephew
Healthcare Pvt. Ltd., (C & F
Elian Trading Co.,) Bldg
No. 2-3 & 15-17, Rajlaxmi
Complex, Opp. Hanuman
Bus Stop, Kalher, Thane
Bhiwandi Road, Dist-Thane
421302, Maharashtra","M/s. Smith & Nephew Inc.,
1450 Brooks RD.,
Memphis,TN USA 38116
Having manufacturing
premises at
M/s. Smith & Nephew Inc.,
1450 Brooks RD.,
Memphis,TN USA 38116","1. Cobalt Chrome Femoral
Head
2. Oxinium Femoral Head
3. SMF STIKTITE Coated /
Hip System - Stems
(Titanium)","31-779-MD/2010-DC
(Re-Reg. 01) End. 03",,MD-779,03.07.2015,31.12.2016,,
25,"M/s. Sahajanand medical
Technology Pvt. Ltd., IInd
Floor, Block No. B, Plot No
53 to 57, Sahajanand
Estate, Vakhariya Vadi,","M/s. Cadia Inc., 2900 Lone
Oak Parkway, Suite 130,
Eagan, MN 55121, USA","1. Ultrasept Septal Closure
System / Septal Occluder
2. Cardia Deliver System /
Catheter",31-1444-MD/2014-DC,,MD-1444,03.07.2015,31.05.2018,,
,"Dabholi Char Rasta, Ved
Road, Surat - 395004",,,,,,,,,
25,"M/s. Meril Life Sciences
India Pvt. Ltd.
512-513, ""Midas"", Sahar
Plaza Complex,
J.B. Nagar, Andheri (East)
Mumbai,
Tal: Andheri East (Mumbai-
Zone6)","M/s. Maxx Orthopedics Inc.,
531, Plymouth Rd Ste 526,
Plymouth Meeting, PA USA
19462, USA
Having manufacturing
premises at
M/s. Maxx Orthopedics Inc.,
531, Plymouth Rd Ste 526,
Plymouth Meeting, PA USA
19462, USA",Total Knee System/ Freedom,"31-635-MD/2009-DC
(Re-Reg. 01) 2015",,MD-635,03.07.2015,15.07.2018,,
25,"M/s. Johnson & Johnson
Private Limited, J-1,
Ground Floor, GalaNo. 1 to
10, Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Taluka : Bhiwandi -15
(Thane - Zone 5), Pin :
421302","M/s. Codman & Shurtleff, Inc,
325 Paramount Drive,
Raynham, MA 02767 USA
Having manufacturing
premises at
M/s. Codman & Shurtleff Inc.,
Calle Circuito Interior Norte,
#1820, Parque Industrial
Salvarcar, Ciudad Juarez,
Chihuahua, Mexico, C.P.
32574","1. Prowler - P10, P14 Infusion
Catheter / Catheter
2. Prowler Select LP Infusion
Catheter / Catheter
3. Prowler Select Plus
Infusion Catheter / Catheter
4. Envoy Guiding Catheter","31-672-MD/2009-DC
(Re-Reg. 02)",,MD-672,03.07.2015,31.08.2018,,
25,"M/s. Johnson & Johnson
Pvt. Ltd., Plot No. 58-B,
EPIP, Phase - I, Jharmajri,
Baddi, Dist., Solan,
Himachal Pradesh -
173205","M/s. Johnson & Johnson do
Brasil ind. Com. De
Prod.p/Saude Ltda., Rodovia
Presidente Dutra, KM 154,
Sao Jose Campos, Sao
Paulo, Brazil 12240-908","Sterile Absorbable Suture
Bulk Raw Material (Non-
Sterile) / Surgialc Catgut -
Plain & Chrome",31-1625-MD/2014-DC,,MD-1625,03.07.2015,15.06.2018,,
25,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room
No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","M/s DePuy France SAS, 7
Allee. Irene Jliot Curie, BP
256, 69801, Saint Priest
Cadex France Having
manufacturing premises at
M/s. Johnson & Johnson
Medical (Suzhou) Ltd.,
No.299, Chang Yang Street
Suzhou Industrial Park,","1. Autobloquante / Hip
Replacement System
2. Corail / Hip Replacement
System",31-1105-MD/2012-DC,,MD-1105,03.07.2015,31.08.2018,,
,,"Suzhou 215126, China",,,,,,,,
25,"M/s. Johnson & Johnson
Ltd., A1/50, Room No.2,
Shed Area, G.I.D.C., Vapi-
Taluka Pardi, Distt.Valsad
India","M/s. DePuy (Ireland),
Loughbeg, Ringaskiddy, Co.
Cork, Ireland
Having manufacturing
premises at
M/s. Depuy Orthopaedics
Inc., 700 Orthopaedic Drive,
Warsaw, Indiana 46582, USA","1. Depuy Gription™ TF
Acetabular Augment System /
Hip Replacement System
2. Golbal Unite Shoulder
System / Shoulder System","31-1029-MD/2011-DC
(Re-Reg. 01)",,MD-1029,03.07.2015,15.06.2018,,
25,"M/s. Covidien Healthcare
India Pvt. Ltd., ""Doshi
Towers"", 6th Floor, # 156,
Poonamallee High Road,
Kilpauk, Chennai - 600010","M/s. eV3 Inc., 4600 Nathan
Lane North, Plymouth, MN
55442, USA","1. Protege EverFlex / Self-
expanding Peripheral Stent
System
2. ProtegeGPS / Self-
expanding Peripheral Stent
System
3. Protege RX / Self-
expanding Peripheral Stent
System
4. ParaMount Mini GPS /
Balloon Expandable
Peripheral Stent System
5. Spider FX Embolic
Protection Device
6.Amplatz GooseNeck /
Snare Kit
7. Amplatz GooseNeck /
MicroSnare Kit
8. Visi-Pro / Balloon
Expandable Biliary Stent
System
9. NonoCross / 0.14 OTW
PTA Dilatation Catheter
10. EverCross / 0.035 OTW
PTA Dilatation Catheter
11. PowerCross / 0.18 OTW
PTA Dilatation Catheter
12. TrailBlazer / Support
Catheter
13. Visi-Pro/ Balloon","31-51-MD/2006-DC (Re-
Reg.03)",,MD-51,03.07.2015,30.06.2018,,
,,,"Expandable Peripheral Stent
System
14. Nitrex / Guidwire",,,,,,,
25,"M/s. Covidien Healthcare
India Private Limited,
""Doshi Towers"", 6th Floor,
#156, Poonamallee High
Road, Kilpauk, Chennai-
600010","M/s. Covidien Iic, 15
Hampshire Street, Mansfield,
MA 02048, USA
Having manufacturing
premises at
M/s. Covidien, Calle 9 Sur
No. 125 Cuidad Industrial,
Tijuana, mexico CP 22500","1. Argyle / Trocar Catheter
2. Argyle / Thoracic Catheter","31-1317-MD/2013-DC
(Re-Reg. 01)",,MD-1317,03.07.2015,30.06.2018,,
25,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Covidien Iic, 15
Hampshire Street, Mansfield
MA 02048 USA
Having manufacturing
premises at
M/s. Covidien (Formerly MMJ
S.A., de C.V) Avenue
Henequen No. 1181, Park
Industrial Salvarcar 32573,
Ciudad Juarez, Chihuahua,
Mexico","1. Tracheostomy Tube /
Shiley™
2. Tracheostomy Tube /
Shiley™
3. TaperGuard Oral/Nasal
Tracheal Tube /
Mallinckrodt™
4. TaperGuard Evac Oral
Tracheal Oral Tracheal Tube
/ Mallinckrodt™","31-1480-MD/2014-DC
(Re. Reg. 01)",,MD-1480,03.07.2015,30.06.2018,,
25,"M/s Covidien Health~are
India Pvt. Ltd., ""Doshi
Towers"", 6th-Floor, # 156,
Poonamallee High Road,
Kilpauk, Chennai - 600 010","M/s. Covidien IIc, 15
Hamsphire Street, Mansfield,
MA 02048 USA Having
manufacturing premises at
M/s. Covidien, Formely
United States Surgical, a
division of Tyco Healthcare
Group LP, 60 Middletown
Avenue north Haven, CT
06473, USA","1. BIOSYN™ /Synthetic
Monofilament Absorbable
Suture
2. CAPROSYN™
/Monofilament Synthetic
Absorbable Suture
3. SURGIPRO™II
/Monofilament Polyproylene
Non absorbable Suture
4. VASCUFIL™
/Monofilament Polybustester
Non absorbable Suture
5. MAXON™ /Monofilament
Polygluconate Synthetic
absorbable Suture
6. POLYSORB™ / Coated
Braided Synthetic absorbable","31-949-MD/2011-DC
(Re-Reg. 02)",,MD-949,03.07.2015,30.06.2018,,
,,,"Suture
7. V-Loc™ 180 / absorbable
Wound Closure Device
8. V-Loc™ 90 / absorbable
Wound Closure Device
9. V-Loc™ PBT / non
absorbable Wound Closure
Device
10. ABSOBATACK™ /
Fixation Device with
absorbable Tacks
11. SURGIPRO™
(Monofilament AND
Multifilament) Polypropylene
Mesh
12. SOFSILK™/ Single Stitch
Reload
13. SURGIDAC™/ Single
Stitch Reload
14. BRALON™/ Nylon Single
Stitch Reload
15. GIA Premium™
Autosuture / Loading Unit
16. Autosuture™ Royal™ /
Skin Staplers
17. Endo GIA™ Autosuture (
Single use Iniversal Straight
Loading Unit and Single use
Universal Articulating Loading
Unit) / Loading unit
18. Endo GIA™ Reload with
Tri-staple
technology(Articulating,
Curved Tip Articulating )/
Loading Unit
19. EEA™ Orvil™ Auto
Suture™ Transoral/ Stapler
with Loading Unit
20. EEA™ Auto Suture™",,,,,,,
,,,"Circular Stapler with DST
Series™ Technology / Stapler
with Loading Unit
21. EEA™ Auto Suture™
Hemorrhoid and Prolapse
Stapler with DST Series™
Technology / Stapler with
Loading Unit
22. Surgitie™ AutoSuture™ /
Ligating loop with delivery
system
23. ReliaMax™ Single use
gastrointestinal anastomosis
reload / Loading Unit",,,,,,,
26,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Covidien Iic, 15
Hampshire Street, Mansfield,
MA 02048, USA
Having manufacturing
premises at
M/s. Vention Medical Costa
Rica S.A. Zona France,
Edificio 2c Barreal De
Heredia, Costa Rica","1. Closure
Fast™/Endovenous
Radiofrequency Ablation
(RFA) Catheter",31-1352-MD/2013-DC,,MD-1352,03.07.2015,30.06.2018,,
26,"M/s. Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Covidien ILC, 15
Hampshire Street, Mansfield,
MA 02048, USA Having
manufacturing premises at
M/s. Mallinckrodt Dar s.r.l.Via
G.Bove 2/4/6/8, 41037,
Mirandola (MO) Italy","DAR™ /Closed Suction
System","31-418-MD/2007-DC
(Re-Reg. 03)",,MD-418,03.07.2015,30.06.2018,,
26,"M/s B. Braun Medical
(India) Pvt. Ltd., Bldg No.B,
Gala No.1-10, Prerna
Complex, Anjur Phata,
Dapoda Road, At Val
Village Taluka-Bhiwandi,
Thane - 421302,
Maharashtra","M/s. B. Braun Melsungen AG,
Carl-Braun-str.1, 34212
Melsungen, Germany
Having manufacturing
premises at
M/s. B.Braun Medical AG,
Hauptstrabe 39, 6182
Escholzmatt, Switzerland","Discofix / Discofix C
/Stopcocks System","31-659-MD/2009-DC
(Re-Reg 02) 2015",,MD-659,03.07.2015,31.07.2018,,
26,"M/s. 3M India Ltd., No.
60/16, Huskur Road,
Electronic City, Bangalore-
560100","M/s. 3M Deutschland Gmbh.,
Health care Business Carl-
Schurz-Str. 1, 41453 Neuss,
Germany
Having manufacturing
premises at
M/s. 3M Deutschland Gmbh.,
Werk Kamen, Edisonstrasse
6, 59157 Kamen, Germany","1. 3M™ Tegaderm™ IV
Transparent Film Dressing
with Border / Transparent
Film Dressing
2. 3M™ Tegaderm™
Transparent Film Dressing
Frame Style / Transparent
Film Dressing",31-1571-MD/2014-DC,,MD-1571,03.07.2015,15.06.2018,,
26,"M/s. Stryker India Private
Limited, Khewat No. 122,
Khata No. 157, Mustkil No.
98, Killa No. 6,7,8/1,13/1,
Vill. Bhondsi Distt. Gurgaon","M/s. Stryker Endoscopy,
5900 Optical court, San Jose,
CA 95138
Having manufacturing
premises at
M/s. Stryker Puerto Rico ltd.,
Hwy 3, KM 131.2 Las
Guasimas Industrial Park
Arroyo, Puerto Rico 00714","Peek Twin Loop Anchors /
Suture Anchor System",31-1582-MD/2014-DC,,MD-1582,07.07.2015,30.06.2018,,
26,"M/s. Stryker India Private
Limited, Khewat No. 122,
Khata No., Mustkil No. 98,
Killa No., 6,7,8/1, 13/1, Vill.
Bhondsi Distt. Gurgaon","M/s. Trauson (China) Medical
Instrument Co. Ltd., No.9
Longmen Road, Wujin Hi-
Tech Insutrial Zone, 213164
Changzhou City, Jiangsu
Province, China","1. Anterior Cervical Plate
System (Non-Sterile)
2. Bone Plates (Non-Sterile)
3. Bone Screws (Non-Sterile)
4. Cable Grip (Non-Sterile)
5. Lockable Intramedullary
Nails (Non-Sterile)
6. Lockable Intramedullary
Nails (Non-Sterile)
7.Bone Pins (Non-Sterile)
8. Intervertebale Fusion Cage",31-1585-MD/2014-DC,,MD-1585,07.07.2015,30.06.2018,,
26,"M/s. Stryker India Private
Limited, Khewat No.122,
Khata No. 157, Mustkill No.
98, Killa no 6,7,8/8/1, 13/1,
Vill. Bhondsi Distt.,
Gurgaon","M/s. Stryker Leibinger GmbH
& Co.., KG , Str. 41, 79111
Freiburg, Germany","1. MEDPOR Generic
2. MEDPOR Titan
3.MEDPOR coated tear drain",31-1008-MD/2011-DC,,MD-1008,07.07.2015,30.06.2018,,
26,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room","M/s. DePuy (Ireland),
Loughbeg, Ringaskiddy, Co.","DeltaMotion / Hip
Replacement System","31-1046-MD-2011-DC
(Re.Reg. 01)",,MD-1046,07.07.2015,15.08.2018,,
,"No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","Cork, Ireland
Having manufacturing
premises at
M/s. Hunt Developments (UK)
Ltd., Units 15-18, Holmbush
Industrial Estate, Midhurst,
West Sussex, GU29 9HX,
United Kingdom",,,,,,,,
26,"M/s. Amplitude India
Private Limited, S.No.
213+241+215/2, Final P
No. 39 & 42, Sub P No. 65,
Lane No.13, Rishiniwas,
Yerwada Kalyaninagar,
Pune, Tal: Yerwada (Pune
- Zone1), Pin:411016","M/s. Amplitude, 11, cours
Jacques Offenbach - Zone
Mozart 2 - 26000 Valence
France","1. Score® / Primary Total
Knee
2. Anatomic® / Primary Total
Knee
3. Integrale® Femoral Stem,
Equateur® acetabular cup,
Saturne®tripolar cup /
Uncemented Total Hip
4. Integrale® Femoral Stem,
HORIZON® II acetabular cup
/ Uncemented Total Hip
(CERAMIC ON CERAMIC)
5. GENERIC® Femoral stem,
INTIALE®acetabular cup,
SATURNE®TRIPOLAR CUP
/ cemented total hip
6. SCORE® REVISION /
REVISION TOTAL KNEE",31-1554-MD/2014-DC,,MD-1554,07.07.2015,30.06.2018,,
